Номенклатура;Артикул;Наименование;НаименованиеПолное;БазоваяЕдиницаИзмерения;ВидНоменклатуры;ДополнительноеОписание;Актуальность;АктуальностьЦифра;Изображение;ИзображениеОборота;Количество;10.МДК;11.Розн.3;01.Базовая цена;01.Базовая ценаПЛЮС100;Вид номенклатуры;Вид номенклатуры (НОВЫЙ);Дата первого прихода;Код цены;Кол-во в упак.;Конструктив;Материал изг.;Отделка;Подвид;Подвид (НОВЫЙ);Послеобрезной формат;Текст внутри;Формат открытки;Родитель1;Родитель2;Родитель3;Родитель4;Родитель5
c8994275-8faa-11e6-80be-ac162d84fef7;51.13.597;Виниловый магнит 'Воплощение мечты...';Виниловый магнит 'Воплощение мечты...';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.597.jpg;;30;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;90х96;нет;малый;ЗАО 'ГК Горчаков';Сувенирные;Магниты;Романтика и Любовь;
c8994275-8faa-11e6-80be-ac162d84fef7;51.13.597;Виниловый магнит 'Воплощение мечты...';Виниловый магнит 'Воплощение мечты...';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.597.jpg;;30;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;90х96;нет;малый;ЗАО 'ГК Горчаков';Романтика;Сувенирные;Магниты;
26f27bb4-265a-11e6-80bd-ac162d84fef7;52.61.141;Футболка мужская 'У меня родилась дочь!' размер XL (52);Футболка мужская 'У меня родилась дочь!' размер XL (52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.141.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.141.back.jpg;140;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
383d1dab-265f-11e6-80bd-ac162d84fef7;52.61.153;Футболка мужская 'Папа чудесной дочки' XL (52);Футболка мужская 'Папа чудесной дочки' XL (52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.153.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.153.back.jpg;359;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XL;нет;размер XL;ЗАО 'ГК Горчаков';Футболки;;;
383d1dab-265f-11e6-80bd-ac162d84fef7;52.61.153;Футболка мужская 'Папа чудесной дочки' XL (52);Футболка мужская 'Папа чудесной дочки' XL (52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.153.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.153.back.jpg;359;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
2f1aae0f-2663-11e6-80bd-ac162d84fef7;52.61.162;Футболка мужская 'У меня родился внук' размер XL (52);Футболка мужская 'У меня родился внук' размер XL (52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.162.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.162.back.jpg;141;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Футболки;;;
2f1aae0f-2663-11e6-80bd-ac162d84fef7;52.61.162;Футболка мужская 'У меня родился внук' размер XL (52);Футболка мужская 'У меня родился внук' размер XL (52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.162.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.162.back.jpg;141;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
c56ddcc5-265c-11e6-80bd-ac162d84fef7;52.61.143;Футболка женская 'У меня родился сын!' размер XL (48-50);Футболка женская 'У меня родился сын!' размер XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.143.jpg;;435;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.08.18;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Футболки;;;
c56ddcc5-265c-11e6-80bd-ac162d84fef7;52.61.143;Футболка женская 'У меня родился сын!' размер XL (48-50);Футболка женская 'У меня родился сын!' размер XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.143.jpg;;435;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.08.18;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
cadb3e68-1b3f-11e6-80bd-ac162d84fef7;54.51.060;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.060.jpg;;1500;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
cadb3e5a-1b3f-11e6-80bd-ac162d84fef7;54.51.059;Виниловый магнит 'Ждем Вас на нашей свадьбе';Виниловый магнит 'Ждем Вас на нашей свадьбе';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.059.jpg;;1520;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
40b8c42a-1b40-11e6-80bd-ac162d84fef7;54.51.061;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.061.jpg;;890;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
e07bc75f-1b39-11e6-80bd-ac162d84fef7;54.51.052;Виниловый магнит 'Ждем Вас на нашей свадьбе';Виниловый магнит 'Ждем Вас на нашей свадьбе';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.052.jpg;;1200;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
cadb3e3e-1b3f-11e6-80bd-ac162d84fef7;54.51.057;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.057.jpg;;1290;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
e07bc789-1b39-11e6-80bd-ac162d84fef7;54.51.055;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.055.jpg;;1550;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
c8994275-8faa-11e6-80be-ac162d84fef7;51.13.597;Виниловый магнит 'Воплощение мечты...';Виниловый магнит 'Воплощение мечты...';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.597.jpg;;30;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;90х96;нет;малый;ЗАО 'ГК Горчаков';Романтика и любовь;Специальные;;
48c96a30-8fa4-11e6-80be-ac162d84fef7;51.13.590;Виниловый магнит 'Хочу подарить тебе счастье!';Виниловый магнит 'Хочу подарить тебе счастье!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.590.jpg;;1500;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;67х126;нет;малый;ЗАО 'ГК Горчаков';Романтика и любовь;Специальные;;
48c96a30-8fa4-11e6-80be-ac162d84fef7;51.13.590;Виниловый магнит 'Хочу подарить тебе счастье!';Виниловый магнит 'Хочу подарить тебе счастье!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.590.jpg;;1500;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;67х126;нет;малый;ЗАО 'ГК Горчаков';Сувенирные;Магниты;Романтика и Любовь;
48c96a30-8fa4-11e6-80be-ac162d84fef7;51.13.590;Виниловый магнит 'Хочу подарить тебе счастье!';Виниловый магнит 'Хочу подарить тебе счастье!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.590.jpg;;1500;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;67х126;нет;малый;ЗАО 'ГК Горчаков';Романтика;Сувенирные;Магниты;
48c96a30-8fa4-11e6-80be-ac162d84fef7;51.13.590;Виниловый магнит 'Хочу подарить тебе счастье!';Виниловый магнит 'Хочу подарить тебе счастье!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.590.jpg;;1500;24,19;18,6;13,5;27;Оформительская продукция (ОФО);Магнит;2016.11.07;612;10;магнит;винил;без отделки;магнит;Прочие надписи;67х126;нет;малый;ЗАО 'ГК Горчаков';Поздравления, пожелания;Сувенирные;Магниты;
b3b3242f-8ecc-11e6-80be-ac162d84fef7;51.13.565;Виниловый магнит 'Пускай любовный эликсир...';Виниловый магнит 'Пускай любовный эликсир...';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.13.565.jpg;;2730;26,55;21,5;15,8;31,6;Оформительская продукция (ОФО);Магнит;2016.11.14;613;10;магнит;винил;без отделки;магнит;Прочие надписи;88х100;нет;малый;ЗАО 'ГК Горчаков';Сувенирные;Магниты;Романтика и Любовь;
383d1dd5-265f-11e6-80bd-ac162d84fef7;52.61.156;Футболка женская 'Мама чудесного сыночка' XXL (50-52);Футболка женская 'Мама чудесного сыночка' XXL (50-52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.156.jpg;;71;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XXL;нет;размер XXL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
383d1dd5-265f-11e6-80bd-ac162d84fef7;52.61.156;Футболка женская 'Мама чудесного сыночка' XXL (50-52);Футболка женская 'Мама чудесного сыночка' XXL (50-52);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.156.jpg;;71;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XXL;нет;размер XXL;ЗАО 'ГК Горчаков';Футболки;;;
3a1d250f-2661-11e6-80bd-ac162d84fef7;52.61.157;Футболка женская 'Мама чудесной дочки' L (46-48);Футболка женская 'Мама чудесной дочки' L (46-48);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.157.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.157.back.jpg;311;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;L;нет;размер L;ЗАО 'ГК Горчаков';Футболки;;;
3a1d250f-2661-11e6-80bd-ac162d84fef7;52.61.157;Футболка женская 'Мама чудесной дочки' L (46-48);Футболка женская 'Мама чудесной дочки' L (46-48);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.157.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.157.back.jpg;311;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;L;нет;размер L;ЗАО 'ГК Горчаков';Рождение ребенка;;;
3a1d251d-2661-11e6-80bd-ac162d84fef7;52.61.158;Футболка женская 'Мама чудесной дочки' XL (48-50);Футболка женская 'Мама чудесной дочки' XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.158.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.158.back.jpg;314;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XL;нет;размер XL;ЗАО 'ГК Горчаков';Футболки;;;
3a1d251d-2661-11e6-80bd-ac162d84fef7;52.61.158;Футболка женская 'Мама чудесной дочки' XL (48-50);Футболка женская 'Мама чудесной дочки' XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.158.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.158.back.jpg;314;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.23;675;1;футболка;хлопок;цветная печать;футболка;Прочие надписи;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
2f1aae39-2663-11e6-80bd-ac162d84fef7;52.61.165;Футболка мужская 'У меня родилась внучка!' размер L  (50);Футболка мужская 'У меня родилась внучка!' размер L  (50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.165.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.165.back.jpg;105;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;L;нет;размер L;ЗАО 'ГК Горчаков';Футболки;;;
e07bc75f-1b39-11e6-80bd-ac162d84fef7;54.51.052;Виниловый магнит 'Ждем Вас на нашей свадьбе';Виниловый магнит 'Ждем Вас на нашей свадьбе';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.052.jpg;;1200;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
cadb3e3e-1b3f-11e6-80bd-ac162d84fef7;54.51.057;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.057.jpg;;1290;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
cadb3e68-1b3f-11e6-80bd-ac162d84fef7;54.51.060;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.060.jpg;;1500;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
40b8c42a-1b40-11e6-80bd-ac162d84fef7;54.51.061;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.061.jpg;;890;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
cadb3e5a-1b3f-11e6-80bd-ac162d84fef7;54.51.059;Виниловый магнит 'Ждем Вас на нашей свадьбе';Виниловый магнит 'Ждем Вас на нашей свадьбе';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.059.jpg;;1520;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
e07bc789-1b39-11e6-80bd-ac162d84fef7;54.51.055;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.055.jpg;;1550;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Магниты;Свадьба;
2f1aae39-2663-11e6-80bd-ac162d84fef7;52.61.165;Футболка мужская 'У меня родилась внучка!' размер L  (50);Футболка мужская 'У меня родилась внучка!' размер L  (50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.165.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.165.back.jpg;105;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.07.04;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;L;нет;размер L;ЗАО 'ГК Горчаков';Рождение ребенка;;;
09229ccc-2664-11e6-80bd-ac162d84fef7;52.61.168;Футболка женская 'У меня родился внук!' размер XL (48-50);Футболка женская 'У меня родился внук!' размер XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.168.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.168.back.jpg;438;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.08.18;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Футболки;;;
09229ccc-2664-11e6-80bd-ac162d84fef7;52.61.168;Футболка женская 'У меня родился внук!' размер XL (48-50);Футболка женская 'У меня родился внук!' размер XL (48-50);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.168.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.168.back.jpg;438;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.08.18;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;XL;нет;размер XL;ЗАО 'ГК Горчаков';Рождение ребенка;;;
73afc0bd-2657-11e6-80bd-ac162d84fef7;52.61.136;Футболка мужская 'У меня родился сын!' размер M (48);Футболка мужская 'У меня родился сын!' размер M (48);шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.136.jpg;ftp://designs:preview@ftp.mirpoz.ru/MP/52/52.61.136.back.jpg;298;;595;439;878;Оформительская продукция (ОФО);Футболка;2016.06.21;675;1;футболка;хлопок;цветная печать;футболка;Рождение ребенка;М;нет;размер М;ЗАО 'ГК Горчаков';Футболки;;;
